DIRN GRATING START_TIME STOP_TIME T_LONG N_SHORT
RETR LETG 2001219.17392630 2001219.17420830 153.237 5
INSR HETG 2001221.05470040 2001221.05493520 154.775 0
RETR HETG 2001224.23464340 2001224.23491820 154.775 0
INSR LETG 2001225.20085000 2001225.20115550 152.212 17
RETR LETG 2001230.20150580 2001230.20175080 153.237 6
INSR HETG 2001238.06061820 2001238.06085290 154.775 0
RETR HETG 2001238.23172920 2001238.23200400 154.775 0
INSR HETG 2001254.23324650 2001254.23352130 154.775 0
RETR HETG 2001258.00464980 2001258.00492460 154.775 0
INSR HETG 2001262.19273520 2001262.19301000 154.775 0
RETR HETG 2001264.16103150 2001264.16130630 154.775 0
INSR HETG 2001267.08503150 2001267.08530630 154.775 0
RETR HETG 2001273.05020440 2001273.05043920 154.775 0
INSR LETG 2001276.11333940 2001276.11363670 152.212 13
RETR LETG 2001277.21115800 2001277.21144100 153.237 5
INSR HETG 2001278.21553930 2001278.21581400 154.775 0
RETR HETG 2001279.06434920 2001279.06462400 154.775 0
INSR LETG 2001281.08233380 2001281.08263110 152.212 13
RETR LETG 2001288.14443970 2001288.14472470 153.237 6
INSR HETG 2001301.16252720 2001301.16280190 154.775 0
RETR HETG 2001303.02281050 2001303.02304530 154.775 0
INSR HETG 2001315.01030100 2001315.01053580 154.775 0
RETR HETG 2001316.02242850 2001316.02270330 154.775 0
INSR LETG 2001330.20583620 2001330.21013350 152.212 13
RETR LETG 2001331.23301060 2001331.23325460 153.237 6
INSR LETG 2001332.05415360 2001332.05445090 152.212 13
RETR LETG 2001333.11012450 2001333.11040650 153.237 5
INSR LETG 2001333.21321880 2001333.21352230 152.212 16
RETR LETG 2001334.19413920 2001334.19442110 153.237 5
INSR HETG 2001334.19452470 2001334.19475940 154.775 0
RETR HETG 2001335.04391390 2001335.04414860 154.775 0
INSR LETG 2001335.04425940 2001335.04455770 152.212 13
RETR LETG 2001338.16401800 2001338.16430310 153.237 6
INSR HETG 2001352.19293820 2001352.19321300 154.775 0
RETR HETG 2001357.23131600 2001357.23155080 154.775 0
INSR LETG 2001359.21253720 2001359.21283450 152.212 13
RETR LETG 2001362.12033880 2001362.12062380 153.237 6
INSR HETG 2001362.12072530 2001362.12100010 154.775 0
RETR HETG 2001363.02065990 2001363.02093470 154.775 0
INSR LETG 2001365.04445260 2001365.04475200 152.212 14
RETR LETG 2001365.15493330 2001365.15521830 153.237 6
INSR LETG 2001365.17530410 2001365.17560340 152.212 14
RETR LETG 2002004.00290760 2002004.00315060 153.237 5
INSR HETG 2002013.09065640 2002013.09093120 154.775 0
RETR HETG 2002013.20371150 2002013.20394630 154.775 0
INSR HETG 2002016.06261010 2002016.06284490 154.775 0
RETR HETG 2002018.15562320 2002018.15585800 154.775 0
INSR LETG 2002018.16000870 2002018.16030500 152.212 12
RETR LETG 2002023.10483950 2002023.10512350 153.237 6
INSR HETG 2002023.10522500 2002023.10545970 154.775 0
RETR HETG 2002024.03033910 2002024.03061390 154.775 0
INSR LETG 2002024.22404780 2002024.22434820 152.212 14
RETR LETG 2002026.14110240 2002026.14134750 153.237 6
INSR HETG 2002028.05404020 2002028.05431500 154.775 0
RETR HETG 2002028.08200040 2002028.08223510 154.775 0
INSR HETG 2002030.01033940 2002030.01061420 155.031 0
RETR HETG 2002030.03290730 2002030.03314210 154.775 0
INSR HETG 2002032.02391290 2002032.02414770 155.031 0
RETR HETG 2002035.17404830 2002035.17432300 154.775 0
INSR HETG 2002050.20332280 2002050.20355760 154.775 0
RETR HETG 2002051.10063690 2002051.10091170 154.775 0
INSR HETG 2002063.15215300 2002063.15242780 154.775 0
RETR HETG 2002064.00401720 2002064.00425190 154.775 0
INSR LETG 2002064.00440270 2002064.00470000 152.212 13
RETR LETG 2002065.02193990 2002065.02222600 153.237 7
INSR HETG 2002077.03393960 2002077.03421440 154.775 0
RETR HETG 2002077.11252320 2002077.11275790 154.775 0
INSR HETG 2002079.11532690 2002079.11560160 154.775 0
RETR HETG 2002082.03263410 2002082.03290880 154.775 0
INSR HETG 2002082.16160520 2002082.16184000 154.519 0
RETR HETG 2002083.07290220 2002083.07313700 154.775 0
INSR HETG 2002085.14091450 2002085.14114930 154.775 0
RETR HETG 2002089.07442170 2002089.07465640 154.775 0
INSR LETG 2002091.02280960 2002091.02311000 152.212 14
RETR LETG 2002091.05051240 2002091.05075740 153.237 6
INSR LETG 2002096.16413920 2002096.16443850 152.212 14
RETR LETG 2002098.00421080 2002098.00445480 153.237 6
INSR HETG 2002099.00492780 2002099.00520260 154.775 0
RETR HETG 2002100.16225310 2002100.16252790 154.775 0
INSR HETG 2002102.07562860 2002102.07590340 155.031 0
RETR HETG 2002103.22524970 2002103.22552450 154.775 0
INSR HETG 2002113.23471980 2002113.23495460 154.775 0
RETR HETG 2002114.13083640 2002114.13111120 154.775 0
INSR HETG 2002116.12582000 2002116.13005580 155.031 0
RETR HETG 2002117.15182640 2002117.15210110 154.775 0
INSR HETG 2002119.17510850 2002119.17534320 154.775 0
RETR HETG 2002120.02094000 2002120.02121480 154.775 0
INSR HETG 2002125.10260920 2002125.10284390 154.775 0
RETR HETG 2002126.00590360 2002126.01013840 154.775 0
INSR HETG 2002127.23314230 2002127.23341810 155.031 0
RETR HETG 2002131.14135420 2002131.14162900 154.775 0
INSR LETG 2002135.00200840 2002135.00230570 152.212 13
RETR LETG 2002135.06012480 2002135.06040880 153.237 6
INSR HETG 2002138.06345070 2002138.06372540 154.775 0
RETR HETG 2002139.15125310 2002139.15152790 154.775 0
INSR HETG 2002150.21514440 2002150.21541910 155.031 0
RETR HETG 2002151.11282040 2002151.11305520 154.775 0
INSR HETG 2002152.06472970 2002152.06500450 154.775 0
RETR HETG 2002152.19593080 2002152.20020550 154.775 0
INSR LETG 2002155.03183900 2002155.03213840 152.212 14
RETR LETG 2002156.04103640 2002156.04132140 153.237 6
INSR HETG 2002156.10094800 2002156.10122280 155.031 0
RETR HETG 2002159.20015860 2002159.20043340 154.775 0
INSR LETG 2002162.13111550 2002162.13141280 152.212 13
RETR LETG 2002164.02224300 2002164.02252700 153.237 6
INSR HETG 2002164.19211560 2002164.19235140 155.031 0
RETR HETG 2002164.22493650 2002164.22521130 154.775 0
INSR HETG 2002175.19364290 2002175.19391770 154.519 0
RETR HETG 2002177.08265640 2002177.08293120 154.775 0
INSR HETG 2002178.05285420 2002178.05312900 154.775 0
RETR HETG 2002179.23283760 2002179.23311240 154.775 0
INSR HETG 2002180.03161880 2002180.03185360 154.775 0
RETR HETG 2002180.06160890 2002180.06184370 154.775 0
INSR LETG 2002180.08072780 2002180.08102820 152.212 14
RETR LETG 2002180.11114350 2002180.11142850 153.237 6
INSR LETG 2002180.16250610 2002180.16280550 152.212 14
RETR LETG 2002181.17164810 2002181.17193310 153.237 6
INSR HETG 2002182.15373930 2002182.15401410 154.775 0
RETR HETG 2002182.23142160 2002182.23165640 154.775 0
INSR LETG 2002183.16021770 2002183.16051600 152.212 13
RETR LETG 2002185.06552910 2002185.06581310 153.237 6
INSR HETG 2002186.17512220 2002186.17535800 155.031 0
RETR HETG 2002186.23301720 2002186.23325200 154.775 0
INSR HETG 2002189.02234560 2002189.02262040 154.775 0
RETR HETG 2002189.09360840 2002189.09384320 154.775 0
INSR HETG 2002191.11355020 2002191.11382500 154.775 0
RETR HETG 2002193.05154660 2002193.05182140 154.775 0
INSR HETG 2002194.06493520 2002194.06521000 154.775 0
RETR HETG 2002194.14563490 2002194.14590970 154.775 0
INSR HETG 2002199.15320230 2002199.15343810 155.031 0
RETR HETG 2002201.22383930 2002201.22411410 154.775 0
INSR LETG 2002203.23415050 2002203.23444990 152.212 14
RETR LETG 2002205.14410890 2002205.14435180 153.237 5
INSR HETG 2002206.11554720 2002206.11582300 155.031 0
RETR HETG 2002207.09135150 2002207.09162630 154.775 0
INSR HETG 2002209.12443760 2002209.12471240 154.775 0
RETR HETG 2002210.03034690 2002210.03062170 154.775 0
INSR HETG 2002210.05031470 2002210.05054950 154.775 0
RETR HETG 2002214.20312030 2002214.20335500 154.775 0
INSR HETG 2002217.21421290 2002217.21444770 154.775 0
RETR HETG 2002218.14021010 2002218.14044490 154.775 0
INSR HETG 2002220.00560230 2002220.00583810 155.031 0
RETR HETG 2002220.08120650 2002220.08144120 154.775 0
INSR HETG 2002225.23033880 2002225.23061350 154.775 0
RETR HETG 2002227.21411280 2002227.21434750 154.775 0
INSR LETG 2002227.23491820 2002227.23521760 152.212 14
RETR LETG 2002229.13105670 2002229.13134170 153.237 6
INSR HETG 2002239.18205230 2002239.18232710 154.775 0
RETR HETG 2002240.19194780 2002240.19222260 154.775 0
INSR HETG 2002247.10224000 2002247.10251480 154.775 0
RETR HETG 2002249.12085310 2002249.12112790 154.775 0
INSR HETG 2002252.21220870 2002252.21244350 154.775 0
RETR HETG 2002256.16102690 2002256.16130160 154.775 0
INSR HETG 2002271.08420980 2002271.08444450 154.775 0
RETR HETG 2002272.13202320 2002272.13225800 154.775 0
INSR LETG 2002278.00015770 2002278.00045300 152.212 12
RETR LETG 2002278.08181910 2002278.08210100 153.237 5
INSR HETG 2002278.08220460 2002278.08243940 154.775 0
RETR HETG 2002279.09340230 2002279.09363710 154.775 0
INSR LETG 2002279.09374780 2002279.09404620 152.212 13
RETR LETG 2002280.12070770 2002280.12095170 153.237 6
INSR HETG 2002281.11205950 2002281.11233420 154.775 0
RETR HETG 2002281.20101500 2002281.20124980 154.775 0
INSR HETG 2002289.08112440 2002289.08135920 154.775 0
RETR HETG 2002291.02021280 2002291.02044760 154.775 0
INSR LETG 2002299.00105550 2002299.00135280 152.212 13
RETR LETG 2002300.03290890 2002300.03315080 153.237 5
INSR HETG 2002306.22262620 2002306.22290100 154.775 0
RETR HETG 2002307.13010630 2002307.13034110 154.775 0
INSR HETG 2002333.13534440 2002333.13561920 154.775 0
RETR HETG 2002334.06214940 2002334.06242420 154.775 0
INSR LETG 2002334.06253490 2002334.06283020 152.212 12
RETR LETG 2002335.01275250 2002335.01303550 153.237 5
INSR LETG 2002338.23224990 2002338.23254830 152.212 13
RETR LETG 2002339.05275210 2002339.05303410 153.237 5
INSR LETG 2002344.20525750 2002344.20555480 152.212 13
RETR LETG 2002346.13384790 2002346.13413190 153.237 6
INSR HETG 2002346.13423340 2002346.13450810 154.775 0
RETR HETG 2002348.08030010 2002348.08053490 154.775 0
INSR HETG 2002354.14564240 2002354.14591720 154.775 0
RETR HETG 2002356.05483190 2002356.05510660 154.775 0
INSR LETG 2002357.16384680 2002357.16414510 152.212 13
RETR LETG 2002358.15050700 2002358.15074900 153.237 5
INSR LETG 2002359.19524120 2002359.19553850 152.212 13
RETR LETG 2002360.09233070 2002360.09261580 153.237 6
INSR HETG 2002360.09271730 2002360.09295200 155.031 0
RETR HETG 2002361.03480210 2002361.03503690 154.775 0
INSR HETG 2003005.09105670 2003005.09133140 154.775 0
RETR HETG 2003005.18492010 2003005.18515490 154.775 0
INSR LETG 2003024.03282940 2003024.03312670 152.212 13
RETR LETG 2003024.04322390 2003024.04350580 153.237 5
INSR HETG 2003063.13515220 2003063.13542700 154.775 0
RETR HETG 2003067.09163670 2003067.09191150 154.775 0
INSR HETG 2003076.19453300 2003076.19480780 154.775 0
RETR HETG 2003077.17183540 2003077.17211010 154.775 0
INSR LETG 2003078.09381090 2003078.09410930 152.212 13
RETR LETG 2003078.17084020 2003078.17112520 153.237 6
INSR LETG 2003088.02572040 2003088.03002590 152.212 17
RETR LETG 2003090.00303010 2003090.00331520 153.237 6
INSR HETG 2003109.16504800 2003109.16532380 155.031 0
RETR HETG 2003110.06511180 2003110.06534660 154.775 0
INSR HETG 2003121.21585050 2003121.22012530 154.775 0
RETR HETG 2003124.09384230 2003124.09411710 154.775 0
INSR HETG 2003125.04294550 2003125.04322030 154.775 0
RETR HETG 2003127.00311310 2003127.00334780 154.775 0
INSR HETG 2003127.03322010 2003127.03345490 154.775 0
RETR HETG 2003129.17003970 2003129.17031440 154.775 0
INSR LETG 2003130.05574810 2003130.06004750 152.212 14
RETR LETG 2003130.20564980 2003130.20593270 153.237 5
INSR LETG 2003132.20303700 2003132.20333440 152.212 13
RETR LETG 2003133.23143740 2003133.23172030 153.237 5
INSR LETG 2003134.23110860 2003134.23140800 152.212 14
RETR LETG 2003135.13064240 2003135.13092430 153.237 5
INSR LETG 2003135.22192730 2003135.22222660 152.212 14
RETR LETG 2003136.12131850 2003136.12155950 153.237 4
INSR LETG 2003137.21041890 2003137.21071410 152.212 12
RETR LETG 2003138.11274440 2003138.11302430 153.237 4
INSR LETG 2003139.01270570 2003139.01300100 152.212 12
RETR LETG 2003139.08422380 2003139.08450570 153.237 5
INSR LETG 2003140.06161320 2003140.06191050 152.212 13
RETR LETG 2003140.15241410 2003140.15265710 153.237 5
INSR HETG 2003148.04125920 2003148.04153400 154.775 0
